Latitude (decimal degrees):	38.346
Longitude (decimal degrees):	-0.489
Elevation (m):	30
Radiation database:	PVGIS-SARAH3


Slope: 35 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20230729:2010,0.0,0.0,0.0,0.0,0.0,28.59,2.48,0.0
20230729:2110,0.0,0.0,0.0,0.0,0.0,27.86,1.79,0.0
20230729:2210,0.0,0.0,0.0,0.0,0.0,27.19,1.24,0.0
20230729:2310,0.0,0.0,0.0,0.0,0.0,26.73,1.17,0.0
20230730:0010,0.0,0.0,0.0,0.0,0.0,26.34,1.17,0.0
20230730:0110,0.0,0.0,0.0,0.0,0.0,26.28,1.17,0.0
20230730:0210,0.0,0.0,0.0,0.0,0.0,26.16,1.52,0.0
20230730:0310,0.0,0.0,0.0,0.0,0.0,26.04,2.14,0.0
20230730:0410,0.0,0.0,0.0,0.0,0.0,25.8,1.72,0.0
20230730:0510,0.0,0.0,0.0,0.0,0.0,25.54,1.03,0.0
20230730:0610,31.64,8.43,51.88,2.44,11.72,25.89,0.28,0.0
20230730:0710,165.06,123.2,113.13,5.59,23.29,26.79,1.1,0.0
20230730:0810,325.87,242.07,180.68,8.52,35.04,27.96,2.14,0.0
20230730:0910,481.91,405.94,211.95,11.61,46.65,28.82,3.17,0.0
20230730:1010,605.84,576.41,212.27,14.25,57.58,29.77,3.24,0.0
20230730:1110,704.25,741.94,176.46,16.26,66.5,30.0,4.34,0.0
20230730:1210,740.88,796.88,166.1,16.95,70.2,30.0,5.17,0.0
20230730:1310,717.01,771.89,158.18,16.48,66.07,30.18,5.1,0.0
20230730:1410,639.87,669.86,151.7,14.87,56.97,30.3,5.24,0.0
20230730:1510,516.72,523.05,136.53,12.46,45.97,30.36,4.9,0.0
20230730:1610,347.64,330.39,120.34,9.26,34.34,29.97,4.41,0.0
20230730:1710,157.55,141.46,91.11,5.75,22.6,29.56,4.28,0.0
20230730:1810,26.57,3.73,46.71,2.31,11.05,29.03,3.52,0.0
20230730:1910,0.0,0.0,0.0,0.0,0.0,28.6,2.9,0.0
20230730:2010,0.0,0.0,0.0,0.0,0.0,28.23,2.55,0.0
20230730:2110,0.0,0.0,0.0,0.0,0.0,27.91,2.07,0.0
20230730:2210,0.0,0.0,0.0,0.0,0.0,27.17,1.38,0.0
20230730:2310,0.0,0.0,0.0,0.0,0.0,26.93,1.38,0.0
20230731:0010,0.0,0.0,0.0,0.0,0.0,26.79,1.45,0.0
20230731:0110,0.0,0.0,0.0,0.0,0.0,26.5,1.38,0.0
20230731:0210,0.0,0.0,0.0,0.0,0.0,26.19,1.24,0.0
20230731:0310,0.0,0.0,0.0,0.0,0.0,26.05,0.9,0.0
20230731:0410,0.0,0.0,0.0,0.0,0.0,25.93,0.48,0.0
20230731:0510,0.0,0.0,0.0,0.0,0.0,25.94,0.14,0.0
20230731:0610,34.53,6.96,56.15,2.28,11.59,26.01,0.28,0.0
20230731:0710,167.9,153.6,90.15,5.91,23.16,26.66,1.03,0.0
20230731:0810,356.96,346.84,118.22,9.46,34.91,27.84,1.59,0.0
20230731:0910,515.18,522.11,140.99,12.44,46.52,28.47,2.62,0.0
20230731:1010,638.75,682.17,148.11,14.96,57.42,29.21,3.31,0.0
20230731:1110,691.86,696.98,202.81,15.9,66.29,29.54,4.28,0.0
20230731:1210,729.95,769.19,179.5,16.66,69.96,29.83,4.97,0.0
20230731:1310,716.48,767.88,158.39,16.37,65.86,30.26,5.52,0.0
20230731:1410,642.18,674.85,147.93,14.85,56.8,30.46,5.66,0.0
20230731:1510,517.39,519.13,137.76,12.37,45.82,30.39,5.86,0.0
20230731:1610,346.88,326.63,121.54,9.17,34.2,30.2,5.59,0.0
20230731:1710,155.69,139.62,90.52,5.66,22.45,29.81,4.69,0.0
20230731:1810,25.99,3.59,45.98,2.28,10.89,29.24,4.41,0.0
20230731:1910,0.0,0.0,0.0,0.0,0.0,28.76,3.79,0.0
20230731:2010,0.0,0.0,0.0,0.0,0.0,28.44,3.17,0.0
20230731:2110,0.0,0.0,0.0,0.0,0.0,28.04,2.41,0.0
20230731:2210,0.0,0.0,0.0,0.0,0.0,27.49,1.59,0.0
20230731:2310,0.0,0.0,0.0,0.0,0.0,27.24,1.79,0.0
20230801:0010,0.0,0.0,0.0,0.0,0.0,26.83,1.86,0.0
20230801:0110,0.0,0.0,0.0,0.0,0.0,26.45,1.93,0.0
20230801:0210,0.0,0.0,0.0,0.0,0.0,25.99,2.07,0.0
20230801:0310,0.0,0.0,0.0,0.0,0.0,25.51,2.07,0.0
20230801:0410,0.0,0.0,0.0,0.0,0.0,25.2,1.59,0.0
20230801:0510,0.0,0.0,0.0,0.0,0.0,25.04,1.1,0.0
20230801:0610,25.89,10.43,43.52,2.55,11.45,25.25,1.03,0.0
20230801:0710,170.09,165.01,82.93,6.04,23.03,26.4,0.76,0.0
20230801:0810,335.78,278.38,160.88,8.83,34.78,27.8,1.03,0.0
20230801:0910,484.9,435.69,195.53,11.79,46.38,28.93,1.72,0.0
20230801:1010,622.58,666.2,158.43,14.81,57.26,30.86,2.41,0.0
20230801:1110,698.7,761.46,165.88,16.33,66.08,31.44,3.45,0.0
20230801:1210,740.92,829.04,149.25,17.13,69.71,31.6,4.48,0.0
20230801:1310,729.11,814.06,135.19,16.73,65.64,31.57,5.66,0.0
20230801:1410,650.54,697.93,137.14,15.03,56.62,31.51,6.28,0.0
20230801:1510,517.79,524.77,135.08,12.39,45.66,31.34,6.07,0.0
20230801:1610,350.43,341.95,113.25,9.3,34.05,31.25,5.52,0.0
20230801:1710,155.17,141.13,89.76,5.66,22.3,30.93,4.55,0.0
20230801:1810,25.01,3.54,44.88,2.28,10.73,30.42,3.38,0.0
20230801:1910,0.0,0.0,0.0,0.0,0.0,29.77,2.14,0.0
20230801:2010,0.0,0.0,0.0,0.0,0.0,29.04,0.9,0.0
20230801:2110,0.0,0.0,0.0,0.0,0.0,28.48,0.69,0.0
20230801:2210,0.0,0.0,0.0,0.0,0.0,27.96,1.03,0.0
20230801:2310,0.0,0.0,0.0,0.0,0.0,27.62,1.31,0.0
20230802:0010,0.0,0.0,0.0,0.0,0.0,27.27,1.45,0.0
20230802:0110,0.0,0.0,0.0,0.0,0.0,26.71,1.17,0.0
20230802:0210,0.0,0.0,0.0,0.0,0.0,26.6,0.69,0.0
20230802:0310,0.0,0.0,0.0,0.0,0.0,26.42,0.76,0.0
20230802:0410,0.0,0.0,0.0,0.0,0.0,25.95,0.83,0.0
20230802:0510,0.0,0.0,0.0,0.0,0.0,25.35,0.83,0.0
20230802:0610,32.4,7.53,53.12,2.28,11.31,25.71,0.69,0.0
20230802:0710,170.74,167.53,82.18,6.06,22.9,26.81,0.55,0.0
20230802:0810,361.76,367.62,108.26,9.62,34.65,28.03,0.76,0.0
20230802:0910,520.88,548.04,130.76,12.66,46.24,29.2,1.93,0.0
20230802:1010,636.81,694.46,145.69,15.05,57.09,30.49,2.69,0.0
20230802:1110,713.12,782.15,158.08,16.51,65.87,31.1,4.0,0.0
20230802:1210,748.29,826.18,153.66,17.11,69.46,31.42,5.31,0.0
20230802:1310,740.66,832.82,128.27,16.89,65.41,31.64,6.28,0.0
20230802:1410,658.96,715.16,130.34,15.17,56.43,31.87,6.76,0.0
20230802:1510,523.76,537.2,130.45,12.5,45.5,32.01,6.76,0.0
20230802:1610,353.93,350.44,109.69,9.37,33.89,31.92,6.21,0.0
20230802:1710,156.53,152.19,82.5,5.79,22.14,31.72,5.45,0.0
20230802:1810,21.96,3.74,40.73,2.31,10.57,31.52,4.41,0.0
20230802:1910,0.0,0.0,0.0,0.0,0.0,30.97,3.24,0.0
20230802:2010,0.0,0.0,0.0,0.0,0.0,30.11,2.21,0.0
20230802:2110,0.0,0.0,0.0,0.0,0.0,29.64,1.38,0.0
20230802:2210,0.0,0.0,0.0,0.0,0.0,28.76,1.66,0.0
20230802:2310,0.0,0.0,0.0,0.0,0.0,28.37,1.66,0.0
20230803:0010,0.0,0.0,0.0,0.0,0.0,27.84,2.07,0.0
20230803:0110,0.0,0.0,0.0,0.0,0.0,27.51,2.48,0.0
20230803:0210,0.0,0.0,0.0,0.0,0.0,27.99,2.97,0.0
20230803:0310,0.0,0.0,0.0,0.0,0.0,29.25,3.79,0.0
20230803:0410,0.0,0.0,0.0,0.0,0.0,29.9,4.14,0.0
20230803:0510,0.0,0.0,0.0,0.0,0.0,29.68,3.86,0.0
20230803:0610,24.33,10.59,42.02,2.5,11.17,29.04,3.59,0.0
20230803:0710,170.23,170.11,79.71,6.04,22.77,29.71,3.72,0.0
20230803:0810,367.65,371.15,104.71,9.58,34.52,30.45,4.69,0.0
20230803:0910,531.19,554.93,125.08,12.64,46.09,30.95,4.97,0.0
20230803:1010,642.39,694.66,142.88,14.96,56.92,31.69,4.34,0.0
20230803:1110,712.17,773.11,159.29,16.33,65.65,31.6,4.9,0.0
20230803:1210,747.75,828.54,148.71,17.02,69.2,31.47,5.52,0.0
20230803:1310,731.66,812.59,135.67,16.62,65.18,31.3,6.07,0.0
20230803:1410,652.11,696.26,137.64,14.92,56.24,30.92,6.41,0.0
20230803:1510,525.02,537.23,127.72,12.41,45.33,30.63,6.62,0.0
20230803:1610,352.6,344.15,110.9,9.22,33.73,30.27,6.0,0.0
20230803:1710,155.89,146.3,84.68,5.64,21.98,29.6,5.72,0.0
20230803:1810,22.55,3.38,41.22,2.24,10.4,28.98,5.24,0.0
20230803:1910,0.0,0.0,0.0,0.0,0.0,28.59,4.9,0.0
20230803:2010,0.0,0.0,0.0,0.0,0.0,28.29,5.17,0.0
20230803:2110,0.0,0.0,0.0,0.0,0.0,27.92,5.93,0.0
20230803:2210,0.0,0.0,0.0,0.0,0.0,27.62,5.59,0.0
20230803:2310,0.0,0.0,0.0,0.0,0.0,27.22,6.14,0.0
20230804:0010,0.0,0.0,0.0,0.0,0.0,27.08,5.93,0.0
20230804:0110,0.0,0.0,0.0,0.0,0.0,27.38,5.79,0.0
20230804:0210,0.0,0.0,0.0,0.0,0.0,27.12,6.55,0.0
20230804:0310,0.0,0.0,0.0,0.0,0.0,26.67,8.07,0.0
20230804:0410,0.0,0.0,0.0,0.0,0.0,26.06,9.17,0.0
20230804:0510,0.0,0.0,0.0,0.0,0.0,25.75,9.03,0.0
20230804:0610,28.23,8.86,47.05,2.31,11.02,25.54,8.9,0.0
20230804:0710,170.88,154.35,88.39,5.77,22.63,25.74,8.55,0.0
20230804:0810,359.88,317.02,135.43,9.02,34.38,26.51,7.66,0.0
20230804:0910,531.97,517.26,145.05,12.26,45.95,27.29,6.76,0.0
20230804:1010,554.65,406.21,302.96,12.77,56.75,27.73,3.72,0.0
20230804:1110,568.24,366.0,371.56,13.22,65.43,28.55,3.03,0.0
20230804:1210,744.27,816.38,156.18,16.89,68.94,29.05,4.21,0.0
20230804:1310,740.38,811.91,136.96,16.58,64.95,29.03,6.07,0.0
20230804:1410,663.42,695.46,137.9,14.87,56.04,28.34,7.31,0.0
20230804:1510,537.89,543.08,125.03,12.42,45.16,27.61,7.72,0.0
20230804:1610,361.25,348.38,108.3,9.22,33.56,27.03,7.59,0.0
20230804:1710,159.07,151.35,81.17,5.68,21.81,26.68,7.03,0.0
20230804:1810,22.27,3.16,40.45,2.21,10.23,26.46,5.72,0.0
20230804:1910,0.0,0.0,0.0,0.0,0.0,26.08,4.34,0.0
20230804:2010,0.0,0.0,0.0,0.0,0.0,25.9,2.83,0.0
20230804:2110,0.0,0.0,0.0,0.0,0.0,25.57,1.52,0.0
20230804:2210,0.0,0.0,0.0,0.0,0.0,25.3,0.9,0.0
20230804:2310,0.0,0.0,0.0,0.0,0.0,24.91,0.48,0.0
20230805:0010,0.0,0.0,0.0,0.0,0.0,24.7,0.76,0.0
20230805:0110,0.0,0.0,0.0,0.0,0.0,24.52,0.83,0.0
20230805:0210,0.0,0.0,0.0,0.0,0.0,23.98,1.1,0.0
20230805:0310,0.0,0.0,0.0,0.0,0.0,23.75,1.38,0.0
20230805:0410,0.0,0.0,0.0,0.0,0.0,23.66,1.66,0.0
20230805:0510,0.0,0.0,0.0,0.0,0.0,23.56,1.72,0.0
20230805:0610,23.65,11.24,40.08,2.5,10.88,23.83,1.52,0.0
20230805:0710,174.04,171.91,80.11,6.02,22.5,25.35,1.1,0.0
20230805:0810,372.05,379.29,103.32,9.64,34.25,26.76,1.52,0.0
20230805:0910,536.18,566.04,123.69,12.73,45.8,27.54,2.41,0.0
20230805:1010,656.89,716.54,137.45,15.16,56.58,27.96,2.97,0.0
20230805:1110,728.67,808.9,146.66,16.64,65.2,28.48,3.45,0.0
20230805:1210,771.83,864.69,136.96,17.34,68.67,28.63,4.97,0.0
20230805:1310,756.81,837.15,129.04,16.84,64.7,28.55,6.48,0.0
20230805:1410,675.37,718.02,131.14,15.1,55.84,28.32,7.31,0.0
20230805:1510,542.64,553.86,123.36,12.55,44.98,27.73,6.83,0.0
20230805:1610,366.04,360.62,104.72,9.37,33.39,27.13,5.86,0.0
20230805:1710,160.47,155.09,80.32,5.73,21.64,26.54,4.76,0.0
20230805:1810,21.56,2.97,39.5,2.19,10.05,26.32,3.93,0.0
20230805:1910,0.0,0.0,0.0,0.0,0.0,26.18,3.38,0.0
20230805:2010,0.0,0.0,0.0,0.0,0.0,26.0,2.83,0.0
20230805:2110,0.0,0.0,0.0,0.0,0.0,25.55,2.55,0.0
20230805:2210,0.0,0.0,0.0,0.0,0.0,25.22,2.48,0.0
20230805:2310,0.0,0.0,0.0,0.0,0.0,24.75,2.28,0.0
20230806:0010,0.0,0.0,0.0,0.0,0.0,24.46,1.86,0.0
20230806:0110,0.0,0.0,0.0,0.0,0.0,24.36,1.59,0.0
20230806:0210,0.0,0.0,0.0,0.0,0.0,24.25,1.52,0.0
20230806:0310,0.0,0.0,0.0,0.0,0.0,23.93,1.52,0.0
20230806:0410,0.0,0.0,0.0,0.0,0.0,23.74,1.52,0.0
20230806:0510,0.0,0.0,0.0,0.0,0.0,23.35,1.52,0.0
20230806:0610,23.94,10.9,40.59,2.42,10.74,23.84,1.31,0.0
20230806:0710,172.03,166.05,83.2,5.9,22.36,25.41,0.69,0.0
20230806:0810,361.97,365.09,111.28,9.46,34.11,27.17,0.34,0.0
20230806:0910,526.29,559.5,127.96,12.64,45.65,28.43,1.52,0.0
20230806:1010,650.06,718.98,136.72,15.14,56.4,29.35,2.55,0.0
20230806:1110,735.06,821.81,140.77,16.71,64.98,29.47,4.07,0.0
20230806:1210,770.44,867.29,136.19,17.33,68.4,29.44,5.03,0.0
20230806:1310,750.21,838.69,129.3,16.82,64.45,29.51,5.72,0.0
20230806:1410,667.1,719.39,131.42,15.08,55.63,29.32,5.79,0.0
20230806:1510,533.39,547.22,127.61,12.46,44.79,29.07,5.45,0.0
20230806:1610,360.18,356.13,106.9,9.28,33.22,28.74,5.03,0.0
20230806:1710,158.87,156.79,78.7,5.71,21.46,28.22,4.62,0.0
20230806:1810,19.96,2.84,37.47,2.19,9.86,27.67,3.93,0.0
20230806:1910,0.0,0.0,0.0,0.0,0.0,27.06,3.1,0.0
20230806:2010,0.0,0.0,0.0,0.0,0.0,26.77,2.55,0.0
20230806:2110,0.0,0.0,0.0,0.0,0.0,26.31,2.34,0.0
20230806:2210,0.0,0.0,0.0,0.0,0.0,25.99,2.83,0.0
20230806:2310,0.0,0.0,0.0,0.0,0.0,25.85,3.03,0.0
20230807:0010,0.0,0.0,0.0,0.0,0.0,25.77,3.24,0.0
20230807:0110,0.0,0.0,0.0,0.0,0.0,25.62,3.17,0.0
20230807:0210,0.0,0.0,0.0,0.0,0.0,25.48,2.97,0.0
20230807:0310,0.0,0.0,0.0,0.0,0.0,25.26,2.97,0.0
20230807:0410,0.0,0.0,0.0,0.0,0.0,25.17,3.24,0.0
20230807:0510,0.0,0.0,0.0,0.0,0.0,25.03,3.38,0.0
20230807:0610,24.19,10.42,41.26,2.33,10.59,25.14,3.66,0.0
20230807:0710,170.84,159.39,85.44,5.73,22.22,25.94,4.14,0.0
20230807:0810,355.12,312.9,139.18,8.9,33.97,27.1,4.69,0.0
20230807:0910,534.28,536.24,137.12,12.33,45.5,27.8,4.97,0.0
20230807:1010,661.88,699.97,143.03,14.87,56.22,28.24,5.17,0.0
20230807:1110,736.09,788.93,154.35,16.33,64.74,28.15,5.52,0.0
20230807:1210,764.8,833.21,149.85,16.93,68.12,28.34,5.72,0.0
20230807:1310,737.05,795.44,148.08,16.35,64.2,28.19,5.66,0.0
20230807:1410,583.29,470.66,268.05,13.15,55.41,27.97,5.31,0.0
20230807:1510,497.7,435.96,188.35,11.48,44.6,27.46,5.52,0.0
20230807:1610,319.95,231.14,176.61,8.05,33.03,27.26,5.79,0.0
20230807:1710,113.29,19.64,138.56,3.27,21.28,26.68,5.93,0.0
20230807:1810,31.65,0.97,53.83,1.63,9.67,26.33,5.52,0.0
20230807:1910,0.0,0.0,0.0,0.0,0.0,25.89,4.83,0.0
20230807:2010,0.0,0.0,0.0,0.0,0.0,25.76,4.07,0.0
20230807:2110,0.0,0.0,0.0,0.0,0.0,25.68,3.45,0.0
20230807:2210,0.0,0.0,0.0,0.0,0.0,25.57,2.28,0.0
20230807:2310,0.0,0.0,0.0,0.0,0.0,25.44,2.0,0.0
20230808:0010,0.0,0.0,0.0,0.0,0.0,25.31,2.21,0.0
20230808:0110,0.0,0.0,0.0,0.0,0.0,25.23,2.28,0.0
20230808:0210,0.0,0.0,0.0,0.0,0.0,25.03,2.07,0.0
20230808:0310,0.0,0.0,0.0,0.0,0.0,24.76,1.45,0.0
20230808:0410,0.0,0.0,0.0,0.0,0.0,24.68,1.17,0.0
20230808:0510,0.0,0.0,0.0,0.0,0.0,24.59,1.66,0.0
20230808:0610,33.24,5.48,54.58,1.88,10.45,24.65,2.0,0.0
20230808:0710,160.28,108.83,117.41,5.06,22.08,25.44,2.0,0.0
20230808:0810,332.36,258.37,169.37,8.36,33.83,26.14,1.93,0.0
20230808:0910,502.12,457.59,181.4,11.66,45.35,26.54,2.76,0.0
20230808:1010,628.81,625.42,184.57,14.25,56.04,27.1,3.1,0.0
20230808:1110,702.6,716.09,194.32,15.73,64.51,27.62,3.79,0.0
20230808:1210,676.12,574.75,294.37,15.06,67.84,27.77,4.62,0.0
20230808:1310,703.42,697.57,202.24,15.57,63.94,27.87,5.24,0.0
20230808:1410,626.53,604.44,190.22,14.02,55.19,28.06,5.31,0.0
20230808:1510,499.7,455.36,174.13,11.54,44.4,28.17,5.31,0.0
20230808:1610,326.98,262.77,156.54,8.26,32.85,27.91,4.83,0.0
20230808:1710,147.3,101.69,111.09,4.86,21.1,27.29,3.72,0.0
20230808:1810,28.71,1.07,49.97,1.68,9.48,26.79,3.72,0.0
20230808:1910,0.0,0.0,0.0,0.0,0.0,26.23,3.93,0.0
20230808:2010,0.0,0.0,0.0,0.0,0.0,25.82,3.45,0.0
20230808:2110,0.0,0.0,0.0,0.0,0.0,25.5,2.41,0.0
20230808:2210,0.0,0.0,0.0,0.0,0.0,25.2,2.69,0.0
20230808:2310,0.0,0.0,0.0,0.0,0.0,24.9,2.34,0.0
20230809:0010,0.0,0.0,0.0,0.0,0.0,24.84,1.17,0.0
20230809:0110,0.0,0.0,0.0,0.0,0.0,24.9,0.9,0.0
20230809:0210,0.0,0.0,0.0,0.0,0.0,24.79,1.03,0.0
20230809:0310,0.0,0.0,0.0,0.0,0.0,24.6,0.97,0.0
20230809:0410,0.0,0.0,0.0,0.0,0.0,24.88,1.1,0.0
20230809:0510,0.0,0.0,0.0,0.0,0.0,24.67,1.03,0.0
20230809:0610,32.6,5.62,53.72,1.86,10.3,24.46,0.97,0.0
20230809:0710,158.09,100.9,121.42,4.92,21.95,24.88,1.52,0.0
20230809:0810,337.6,272.54,160.39,8.43,33.69,25.74,2.14,0.0
20230809:0910,477.34,388.22,218.66,11.07,45.2,26.5,2.76,0.0
20230809:1010,604.24,565.82,217.37,13.76,55.85,27.58,2.62,0.0
20230809:1110,692.19,684.82,211.69,15.46,64.27,28.14,4.0,0.0
20230809:1210,707.46,687.44,230.6,15.77,67.56,28.63,4.34,0.0
20230809:1310,687.44,679.89,211.54,15.39,63.67,29.02,4.28,0.0
20230809:1410,597.02,545.9,221.84,13.53,54.97,29.36,4.21,0.0
20230809:1510,467.88,386.25,211.49,10.94,44.2,29.5,4.07,0.0
20230809:1610,311.3,229.84,173.36,7.9,32.65,29.42,4.34,0.0
20230809:1710,142.08,85.32,119.83,4.59,20.9,28.76,4.14,0.0
20230809:1810,28.74,0.72,50.46,1.54,9.28,28.18,3.1,0.0
20230809:1910,0.0,0.0,0.0,0.0,0.0,27.56,1.59,0.0
20230809:2010,0.0,0.0,0.0,0.0,0.0,27.25,2.48,0.0
20230809:2110,0.0,0.0,0.0,0.0,0.0,26.87,2.62,0.0
20230809:2210,0.0,0.0,0.0,0.0,0.0,26.45,1.72,0.0
20230809:2310,0.0,0.0,0.0,0.0,0.0,26.35,2.48,0.0
20230810:0010,0.0,0.0,0.0,0.0,0.0,26.19,2.76,0.0
20230810:0110,0.0,0.0,0.0,0.0,0.0,26.07,1.72,0.0
20230810:0210,0.0,0.0,0.0,0.0,0.0,26.02,1.24,0.0
20230810:0310,0.0,0.0,0.0,0.0,0.0,25.69,1.03,0.0
20230810:0410,0.0,0.0,0.0,0.0,0.0,25.57,1.52,0.0
20230810:0510,0.0,0.0,0.0,0.0,0.0,25.42,1.24,0.0
20230810:0610,33.73,3.74,55.91,1.63,10.16,25.42,1.66,0.0
20230810:0710,149.36,72.79,135.67,4.49,21.81,26.11,2.76,0.0
20230810:0810,311.0,202.57,197.07,7.74,33.55,27.42,3.31,0.0
20230810:0910,467.41,366.01,231.08,10.87,45.04,28.78,3.59,0.0
20230810:1010,587.24,513.06,247.63,13.36,55.67,30.87,4.28,0.0
20230810:1110,666.27,636.51,240.82,15.12,64.02,32.15,4.28,0.0
20230810:1210,696.15,689.65,231.03,15.77,67.27,32.85,4.62,0.0
20230810:1310,676.25,668.43,218.9,15.28,63.4,33.58,5.59,0.0
20230810:1410,596.19,558.15,216.43,13.6,54.74,33.86,6.0,0.0
20230810:1510,469.48,402.67,202.43,11.03,43.99,33.6,6.21,0.0
20230810:1610,313.3,250.04,161.69,8.05,32.46,33.3,5.59,0.0
20230810:1710,139.0,87.35,117.25,4.58,20.71,32.29,4.76,0.0
20230810:1810,27.67,0.57,49.7,1.5,9.08,31.43,3.31,0.0
20230810:1910,0.0,0.0,0.0,0.0,0.0,30.41,2.21,0.0
20230810:2010,0.0,0.0,0.0,0.0,0.0,29.45,1.52,0.0
20230810:2110,0.0,0.0,0.0,0.0,0.0,28.62,2.07,0.0
20230810:2210,0.0,0.0,0.0,0.0,0.0,28.02,2.41,0.0
20230810:2310,0.0,0.0,0.0,0.0,0.0,27.57,3.1,0.0
20230811:0010,0.0,0.0,0.0,0.0,0.0,27.46,3.52,0.0
20230811:0110,0.0,0.0,0.0,0.0,0.0,27.18,3.66,0.0
20230811:0210,0.0,0.0,0.0,0.0,0.0,26.96,3.86,0.0
20230811:0310,0.0,0.0,0.0,0.0,0.0,26.8,3.45,0.0
20230811:0410,0.0,0.0,0.0,0.0,0.0,26.69,2.97,0.0
20230811:0510,0.0,0.0,0.0,0.0,0.0,26.61,2.69,0.0
20230811:0610,29.16,7.06,49.23,1.92,10.01,26.79,2.9,0.0
20230811:0710,166.13,143.11,95.87,5.39,21.67,27.51,2.9,0.0
20230811:0810,356.92,338.3,123.33,8.93,33.41,28.69,3.03,0.0
20230811:0910,513.32,501.47,158.15,11.9,44.89,29.56,3.45,0.0
20230811:1010,636.5,657.21,169.64,14.4,55.48,30.07,3.86,0.0
20230811:1110,728.98,801.5,149.38,16.26,63.78,30.24,4.76,0.0
20230811:1210,760.03,844.95,145.84,16.86,66.97,30.42,5.38,0.0
20230811:1310,730.99,795.29,149.26,16.17,63.13,30.22,5.79,0.0
20230811:1410,651.65,688.55,143.98,14.52,54.5,29.96,5.86,0.0
20230811:1510,522.93,528.53,132.95,11.99,43.78,29.57,5.86,0.0
20230811:1610,349.06,335.12,114.0,8.79,32.25,29.21,5.59,0.0
20230811:1710,149.89,135.55,86.57,5.17,20.51,28.61,5.1,0.0
20230811:1810,20.34,0.89,38.55,1.77,8.87,28.08,4.48,0.0
20230811:1910,0.0,0.0,0.0,0.0,0.0,27.48,3.66,0.0
20230811:2010,0.0,0.0,0.0,0.0,0.0,27.04,2.28,0.0
20230811:2110,0.0,0.0,0.0,0.0,0.0,26.71,0.97,0.0
20230811:2210,0.0,0.0,0.0,0.0,0.0,26.32,0.83,0.0
20230811:2310,0.0,0.0,0.0,0.0,0.0,26.3,1.03,0.0
20230812:0010,0.0,0.0,0.0,0.0,0.0,26.06,1.45,0.0
20230812:0110,0.0,0.0,0.0,0.0,0.0,25.9,1.52,0.0
20230812:0210,0.0,0.0,0.0,0.0,0.0,25.36,1.24,0.0
20230812:0310,0.0,0.0,0.0,0.0,0.0,25.06,1.17,0.0
20230812:0410,0.0,0.0,0.0,0.0,0.0,24.9,1.24,0.0
20230812:0510,0.0,0.0,0.0,0.0,0.0,24.65,1.38,0.0
20230812:0610,26.44,8.43,44.91,1.97,9.86,24.94,1.59,0.0
20230812:0710,165.62,137.59,98.97,5.28,21.53,25.67,1.72,0.0
20230812:0810,357.12,331.91,128.46,8.86,33.27,26.71,2.07,0.0
20230812:0910,516.42,502.7,158.52,11.88,44.73,27.45,2.69,0.0
20230812:1010,627.06,622.16,191.09,14.12,55.28,28.01,2.97,0.0
20230812:1110,736.27,813.79,144.53,16.33,63.53,28.45,4.14,0.0
20230812:1210,763.86,846.68,146.16,16.84,66.67,28.78,4.83,0.0
20230812:1310,735.67,806.46,144.4,16.22,62.85,28.93,5.03,0.0
20230812:1410,647.86,679.64,149.39,14.41,54.25,29.02,4.97,0.0
20230812:1510,516.58,521.78,136.23,11.88,43.56,29.07,4.28,0.0
20230812:1610,344.06,325.9,118.11,8.64,32.05,28.77,4.34,0.0
20230812:1710,148.17,132.89,86.85,5.08,20.3,28.2,4.07,0.0
20230812:1810,24.56,0.39,44.62,1.56,8.66,27.69,3.24,0.0
20230812:1910,0.0,0.0,0.0,0.0,0.0,27.11,2.55,0.0
20230812:2010,0.0,0.0,0.0,0.0,0.0,26.74,2.0,0.0
20230812:2110,0.0,0.0,0.0,0.0,0.0,26.38,1.66,0.0
20230812:2210,0.0,0.0,0.0,0.0,0.0,26.0,1.1,0.0
20230812:2310,0.0,0.0,0.0,0.0,0.0,25.88,0.97,0.0
20230813:0010,0.0,0.0,0.0,0.0,0.0,25.82,1.24,0.0
20230813:0110,0.0,0.0,0.0,0.0,0.0,25.57,1.1,0.0
20230813:0210,0.0,0.0,0.0,0.0,0.0,25.37,1.03,0.0
20230813:0310,0.0,0.0,0.0,0.0,0.0,25.25,1.38,0.0
20230813:0410,0.0,0.0,0.0,0.0,0.0,25.11,1.72,0.0
20230813:0510,0.0,0.0,0.0,0.0,0.0,24.88,2.07,0.0
20230813:0610,28.34,7.33,47.71,1.86,9.71,24.95,2.62,0.0
20230813:0710,167.23,144.95,93.72,5.32,21.38,25.93,3.1,0.0
20230813:0810,359.49,336.67,123.99,8.83,33.12,27.1,3.24,0.0
20230813:0910,509.55,471.71,176.48,11.61,44.57,27.66,3.52,0.0
20230813:1010,640.54,643.37,177.36,14.2,55.09,28.01,4.21,0.0
20230813:1110,733.9,788.94,156.19,16.06,63.27,28.37,5.1,0.0
20230813:1210,682.03,578.83,295.53,14.96,66.37,28.42,5.45,0.0
20230813:1310,733.98,792.21,150.89,16.04,62.56,28.45,5.38,0.0
